person,height,weight,age,gender,blood
p001,157.7,56.8,20,Male,B
p002,169.7,58.1,53,Female,A
p003,160.6,96.8,22,Male,O
p004,'155.8', , ,Female,O
p005,115.5,22.5,7,Male,
p006,183.2,65.6,21,Male,O
p007,173.8,100.9,26,Male,O
p008,136,37.1,11,Female,
p009,178.4,59.8,33,Male,O
p010,164.5,72.8, 39 ,Male,O
p011,' 151.2 ',' 67.7 ',,Female,O
p012,170.3,59.7,31,Female,B
p013,163.7,69.8,32,Female,A
p014,152.9 ,61.9 ,50 ,Female ,A 
p015,146.0,47.6,29,Female,O
p016,'１７２．９','７４．８',,,B
p017,149.9,65.4,59,Female,B
p018,159.4,65.1,34,Female,A
p019,160.3,54.6,53,Female,B
p020,161,67,４７,Ｍａｌｅ,Ｏ
p021,159.8,54.6,21,Male,B
p022,181.5,85.6,48,Male,A
p023,149.6,61.4,61,Female,A
p024,173.3,59.5,29,Male,O
p025,146.4,41.1,30,Female,O
p026,155.4,72.4,33,Female,A
p027,163.2,52.7,16,Male,AB
p028,160.1,77.5,21,Male,A
p029,148.2,62.7,33,Female,B
p030,181,102.2,　３９　,　Ｍａｌｅ　,　Ａ
p031,160.9,78.7,37,Male,A
p032,160.7,67.8,28,Female,A
p033,163.8,60.3,22,Male,A
p034,154.1,51,29,Male,A
p035,158.9,46,32,Female,B
p036,167.8,70,58,female,O
p037,161.5,46.3,58,Female,Ab
p038,165.2,76.6,31, MALE ,B
p039,153,48.9,59,Female,A
p040,148.6,77.3,31,Female,B
p041,161.4,45.9,44,Female, o 
p042,168.4,105.8,45,Male,B
p043,173.8,63,23,Female,A
p044,150.3,52.1,29,Female,O
p045,135.7,46.4,78,Female,O
p046,171.7,84.9,38,Male,A
p047,152.5,52.1,21,Female,A
p048,152.7,62.6,23,Female,O
p049,166.6,76.7,24,Male,B
p050,152.6,78.4,61,Female,O
p051,145.1,61,39,Female,B
p052,179.4,93.6,36,Male,AB
p053,170.9,57.2,24,Female,B
p054,157.1,75.8,35,Female,A
p055,159.9,59.4,58,Male,O
p056,166.1,65.7,43,Female,A
p057,169.5,83,51,Female,O
p058,159.5,70.1,48,Male,AB
p059,184.2,67,50,Male,A
p060,1609,95.2,64,Male,B
p061,146.9,46.3,38,Female,O
p062,175.3,81.9,15,Male,A
p063,150.2,64.8,40,Female,A
p064,185.7,66.6,44,Male,A
p065,160.7,73.8,56,Male,A
p066,154.8,64,55,Female,A
p067,167.2,46.8,23,Female,B
p068,145.4,67.5,42,Female,ａ
p069,175.2,101.2,40,Male,O
p070,148.6,51.3,44,Female,O
p071,187.8,106.5,42,Male,O
p072,144.7,60.8,48,Female,A
p073,168.6,98.4,25,Male,O
p074,144.7,65.4,51,Female,A
p075,169,65,75,Male,B
p076,165.8,79.7,55,Male,B
p077,171.9,78.3,48,Female,O
p078,171.4,91.2,23,Male,A
p079,159.9,64.6,29,Female,O
p080,160.6,51.5,33,Female,　Ａ　
p081,152.3,76.3,40,Female,B
p082,157.3,54.8,49,Male, AB 
p083,143.5,48.1,22,Female,B
p084,162.3,92.3,60,Male,O
p085,156.6,42.9,39,Male,AB
